timesteps_total,done,info,episode_reward_mean,episode_len_mean,episodes_total,mean_accuracy,mean_validation_accuracy,mean_loss,neg_mean_loss,experiment_id,training_iteration,timesteps_this_iter,time_this_iter_s,time_total_s,pid,date,timestamp,hostname,node_ip,config
671665,,"{'weights_norm': 628.0172119140625, 'time_elapsed_this_iter': 12.219695091247559, 'grad_norm': 7.033622741699219, 'episodes_so_far': 21386L, 'time_elapsed': 244.9090700149536, 'update_ratio': 0.02908329665660858, 'timesteps_so_far': 671665L, 'episodes_this_iter': 1000L, 'timesteps_this_iter': 34747L}",44.21160960197449,33.5,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,21,34747,12.220890998840332,244.65091180801392,10546,2018-04-01_21-20-36,1522617636,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
707637,,"{'weights_norm': 631.574951171875, 'time_elapsed_this_iter': 12.835381031036377, 'grad_norm': 6.765138626098633, 'episodes_so_far': 22396L, 'time_elapsed': 257.7565710544586, 'update_ratio': 0.02863984741270542, 'timesteps_so_far': 707637L, 'episodes_this_iter': 1010L, 'timesteps_this_iter': 35972L}",55.09507369995117,36.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,22,35972,12.836725950241089,257.487637758255,10546,2018-04-01_21-20-49,1522617649,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
745359,,"{'weights_norm': 635.1241455078125, 'time_elapsed_this_iter': 13.285310983657837, 'grad_norm': 6.736435890197754, 'episodes_so_far': 23430L, 'time_elapsed': 271.05560994148254, 'update_ratio': 0.028340831398963928, 'timesteps_so_far': 745359L, 'episodes_this_iter': 1034L, 'timesteps_this_iter': 37722L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,23,37722,13.286671876907349,270.77430963516235,10546,2018-04-01_21-21-02,1522617662,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
781965,,"{'weights_norm': 638.5380249023438, 'time_elapsed_this_iter': 13.093270063400269, 'grad_norm': 6.908069133758545, 'episodes_so_far': 24432L, 'time_elapsed': 284.1630001068115, 'update_ratio': 0.02814536914229393, 'timesteps_so_far': 781965L, 'episodes_this_iter': 1002L, 'timesteps_this_iter': 36606L}",72.37887573242188,52.666666666666664,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,24,36606,13.09461498260498,283.86892461776733,10546,2018-04-01_21-21-15,1522617675,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
820453,,"{'weights_norm': 641.7295532226562, 'time_elapsed_this_iter': 13.78515911102295, 'grad_norm': 6.192364692687988, 'episodes_so_far': 25446L, 'time_elapsed': 297.96150302886963, 'update_ratio': 0.027651378884911537, 'timesteps_so_far': 820453L, 'episodes_this_iter': 1014L, 'timesteps_this_iter': 38488L}",64.1085573832194,41.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,25,38488,13.786370038986206,297.65529465675354,10546,2018-04-01_21-21-29,1522617689,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
859886,,"{'weights_norm': 644.620849609375, 'time_elapsed_this_iter': 13.411784887313843, 'grad_norm': 6.604867935180664, 'episodes_so_far': 26464L, 'time_elapsed': 311.3881859779358, 'update_ratio': 0.027309471741318703, 'timesteps_so_far': 859886L, 'episodes_this_iter': 1018L, 'timesteps_this_iter': 39433L}",68.90788269042969,39.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,26,39433,13.41295313835144,311.068247795105,10546,2018-04-01_21-21-43,1522617703,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
899550,,"{'weights_norm': 647.3750610351562, 'time_elapsed_this_iter': 14.24561595916748, 'grad_norm': 6.710226058959961, 'episodes_so_far': 27466L, 'time_elapsed': 325.64791989326477, 'update_ratio': 0.02710149809718132, 'timesteps_so_far': 899550L, 'episodes_this_iter': 1002L, 'timesteps_this_iter': 39664L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,27,39664,14.246869087219238,325.3151168823242,10546,2018-04-01_21-21-57,1522617717,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
940270,,"{'weights_norm': 649.9522094726562, 'time_elapsed_this_iter': 13.720716953277588, 'grad_norm': 6.277181625366211, 'episodes_so_far': 28468L, 'time_elapsed': 339.38142490386963, 'update_ratio': 0.026766084134578705, 'timesteps_so_far': 940270L, 'episodes_this_iter': 1002L, 'timesteps_this_iter': 40720L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,28,40720,13.721935987472534,339.03705286979675,10546,2018-04-01_21-22-11,1522617731,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
981692,,"{'weights_norm': 652.306640625, 'time_elapsed_this_iter': 14.169054985046387, 'grad_norm': 6.634280681610107, 'episodes_so_far': 29476L, 'time_elapsed': 353.5619649887085, 'update_ratio': 0.02660946547985077, 'timesteps_so_far': 981692L, 'episodes_this_iter': 1008L, 'timesteps_this_iter': 41422L}",89.49656677246094,73.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,29,41422,14.17107892036438,353.20813179016113,10546,2018-04-01_21-22-25,1522617745,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
1024760,,"{'weights_norm': 654.59814453125, 'time_elapsed_this_iter': 14.592799186706543, 'grad_norm': 6.282573223114014, 'episodes_so_far': 30514L, 'time_elapsed': 368.1675341129303, 'update_ratio': 0.026313789188861847, 'timesteps_so_far': 1024760L, 'episodes_this_iter': 1038L, 'timesteps_this_iter': 43068L}",69.6904525756836,45.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,30,43068,14.594419002532959,367.8025507926941,10546,2018-04-01_21-22-40,1522617760,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
